produk;user;review;klasifikasi
acnes facewash;halloakuega;pernah pake ini, tapi kulitku kusam dan gak cocok ternyata, terlebih lagi disini dia bilang produknya buat bisa membantu menghilangkan jerawat. tpidiaku malah makin jadi dan timbul bruntusan. dan jujur banget mungkin dikalian kulitnya cocok. diaku nggak. inget, gak semua produk yg orglain pake, itu cocok juga di kulit wajah kita.;0
acnes facewash;wirdajannah;nyoba ini karna wktu itu fw yg biasa dipake abis dan blm repurces Akhirnya coba ini, busa nya Luamayan banyak, ada wangi nya sedkit, after dibilas kerasa kering ketarik kurang suka si, tp recommend buat orng yg emng tope kulit nya berminyak trus mau cari fw yg affordable bisa jd opsi;0
acnes facewash;raihanaananda;Sedihhh banget rasanya gak cocok sama ini. Padahal rangkaian lainnya aman aman aja dimuka aku. Tekstur creamy lumayan berbusa. Yang bikin aku gak cocok adalahhh after dibilas wajah aku keset kering paraaahh. Dah coba berkali kali tapi tetep gak bisa bersajabat huuuuhu;0
acnes facewash;cacaca3004;saat pakai produk ini dan bilas, face wash ini kasih efek keseettttt banget dan kering bgt untuk mukaku yang cukup berminyak. kurang suka juga sama wangi dari produk ini. tapi selama aku pakai face wash ini, dia gak munculin reaksi negatif sih. cuma kurang suka aja dgn after feelnya yang bikin kulit keset abiezzz. kelebihannya adalah harganya murah dan gampang dicari dimana-manaaa~. untuk saat ini gak mau repurchase duluu;0
acnes facewash;fuzifauziii_;Beli ini karena sekedar batu loncatan aja karena belum ada uang buat beli fw yg biasa dipake😂 Busanya banyak bangeeeet, bikin kulit kering, komedo makin muncul, setelah cuci muka kaya ketarik gituu, trs ada efek putihnya gitu di wajah, saran aku setelah cuci muka lgsg pake mouisturizer biar wajahnya ga dehidrasi;0
acnes facewash;Novipw;Gak cocok pake produk ini bikin kulit keringggggggggggggggggggggggggg banget dan dehidrasi,selesai pake produk ini kulit muka kayak ketarik gitu dan keset,gak ada perubahan di muka ku seelah pake ini;0
acnes facewash;zuhriaputri;Menurut aku kurang ada efek perubahan di wajah, klaimnya sih acne warrior tapi mungkin kurang cocok aja di kulit aku. Sebenernya lumayan affordable dan mudah didapatkan, sayang aja kurang cocok. Secara tekstur dan bau suka sih, harum aja;0
acnes facewash;na_jeel;Entah kulitku yang badak atau gimana, tapi menurutku gak ada ngaruhnya sama sekali ke jerawat-jerawatku, padahal klaimnya dan merknya jelas-jelas merujuk ke jerawat. Pas dipake sih aman-aman aja, gak bikin kering, tapi aku cari yang lain kalau untuk ngatasin jerawat.;0
acnes facewash;yovyitsnadyz_;DIA ADALAH PENYEBAB PERTAMA KULITKU BREAK OUT!!! .. Dulu aku punya bruntusan di dahi, mangkanya aku nyoba produk ini dengan harapan meredakan bruntusanku. tapi naas, bukannya hilang justru tambah parah!! setress bgtt, sejak ituu aku pakai produk apapun sering gacocokkk huhu sedihh..;0
acnes facewash;luthpiyah;Aku beli ini karna males beli facewash yg biasa dan pengen nyoba yg lbh affordable, awal pemakaian si enak dia tipe yg creami banyak busa gitu tapi hasil akhirnya emang gabegitu kering. Cuman setelah beberapa kali pemakaian ko daerah mulut dan hidungku jadi kasar kaya komedo yg mau keluar tapi enggan keluar dan mulai timbul merahmerah mau muncul jerawat, tapi begitu kubalik ke facewash yg biasa kupake komedo yg kasar itu tibatiba gone aja. Acnes maaf kita harus gacocok ternyata 💔;0
acnes facewash;Labibah_;Aku nyoba beli karena review. Waktu itu aku beli yang gede karena ga ada yang kecilnya, aku juga udah berekspektasi tinggi sama dia karena kuliat reviewnya bagus. Eh ternyata dia nggak membantu sama sekali, sedih banget terlanjur beli yang gede. :( Warna Face washya broken white (?) gitu dan teksturnya creamy seperti namanya.;0
acnes facewash;denisailya;Untuk beberapa saat, tidak berefek apa apa di kulitku. cuman kerasa bersih aja gitu, keset. beberapa kali purchase tapi ga menghasilkan apa apa jadinya bye bye. texturenya padet gitu, busanya cukup banyak.. tapi sayangnya harus ganti karena tidak menghasilkan apa apa:((;0
acnes facewash;nengratri;Nyobain nih produk karna wajah lg purging. Dari segi harga ini masuk murah menurutku, karna dengan harga segitu isinya dapet sebanyak itu. Teksturnya sesuai namanya creamy dgn ada bulir2 halus macem scrub tp g bikin sakit. Aromanya g terlalu suka karna lbh k arah aroma zat kimia gtu. Dan sayangnya ngga bekerja baik di kulitku. Trus hasil akhirnya jg keset banget ngasi efek ketarik gitu. Kuharap ke depannya acnes bs perbaiki formula dan aromanya;0
acnes facewash;mellapie;pertama pemakaian udah langsung kemerahan di bagian dagu. Awalnya, aku kira purging, eh ternyata lama-kelamaan kok jadi bruntusan kecil-kecil di dahi dan muncul jerawat di bagian yang jarang muncul jerawat. baunya nyengat, tapi busanya ga terlalu banyak.;0
acnes facewash;nmgya;dulu pake ini punya kaka dan setiap abis make ini selalu tumbuh jerawat hufttt.dia salah satu penyebab w jerawatan pas smp walau tidak banyak tp ttp bikin jerawatan,tp vanyak org yg cocok ini termasuk kaka w dulu cocok bet tp di w engga bye;0
acnes facewash;serinalc;bikin jerawatan ga tau kenapa padahal tipe kulit ku bukan yg sensitif( masih bisa nerima alkohol ) aku toner nya pake viva ( yg ada alkoholnya )tapi okay okay aja,tpi kalau pake ini malah bikin jerawatan? aku g tau problemnya dimana aku kira ini purging tapi nyatanya nggak setiap make fw nya malah timbul jerawat,aku pake besoknya lgi jerawatnya makin makin aku berhenti pemakaian fwnya aku ganti senka eh ngilang tu jerawat:( skincare tu emng cocok cocokan aja si ya;0
acnes facewash;kartikarafiqa;jujurly gak ada perubahan sih pake ini, kulit malah jadi kering rasanyaaaa, padahal murah, di cari gampang, dan awet aku beli satu tube gak habis2 sampe pada akhirnya menyerah karna gak ada perubahan yg bagus, sorry ya acnes aku tidak padamu;0
acnes facewash;lajalion;big no! ga cocok di aku. aku jadi kusam dan jerawatan pas makai ini, ga nyaman banget. yang sensitif, hati2 deh. ini cocok utk yg normal skin type kayaknya. jgn tertipu review temenmu. aku nyoba ini disaranin temen juga soalnya. ga cocok =(;0
acnes facewash;mama_ika;pemakaian 2minggu bikin BO..doohhh kapokkk..kulit jd kering, terkelupas dan jerawatan dmn2..bruntusan kecil2 ilang, tp diganti sama jerawat gede2, pdhal aku termasuk yg gak gampang jerawat gede..untung cepet2 sadar kalo masalahnya di FW ini..;0
acnes facewash;24aisyaah;Beli ini karena murah dan gampang dicari di mana-mana. Teksturnya yang creamy & thick, saat dikasih air dikit dan disebarkan ke area wajah langsung berbusa banyak jadi bener-bener bisa membersihkan wajah secara maksimal. Sayangnya facial wash ini bikin kering di wajah, jadi perlu banget pakai hydrating toner setelahnya. Untuk mengatasi kulit berjeraway sih oke ya, tapi kalo ditanya repurchase atau ngga, kayaknya ngga deh.;0
acnes facewash;aldona1205;fw yg murmer yg enak digunakan dan ga murahan. daya bersihnya baik. cm krna masih ada myristic acid, lauric acid dan acid2 lainnya jd aku ga terusin pake, apalagi ada alkoholnya jg. krna msh penasaran aku coba 2-3 kali tp aku ga gt suka, wlopun hasilnya bersih tp mesti buru2 diguyur toner spy muka ga kering;0
acnes facewash;skinjournaling;this is a bit stripping on me. teksturnya creamy warna putih dengan aroma yg cukup kuat. busanya banyak dan setelah di bilas bikin wajah terasa bersih dan segar. tapiii.. di dry skin kayak aku masih bikin ketarik. aromanya juga agak ganggu karna memang ada fragrance di ingredients listnya.;0
acnes facewash;IdaNs;beli karena facial wash yang biasa aku pake lagi habis. kebetulan produk ink lagi promo bundling sama sealing jell 5gr. dan tergiurlaaahhh. tapi 1 bulan pake malah jadi muncul jerawat syediihhh. padahal aku pakein sealling jellnya biar jerawat kalem tapi ga ngefek. hiksss;0
acnes facewash;Mustikawln24;"Pertama kali pakai ini karena sedang bruntusan dan jerawatan sedikit setelah dipakai kurang lebih 1 minggu, muncul benjolan banyak di daerah dekat rambut, sama bruntusan makin parah dan jerawatan malah. gx akan aku beli lagi. kapok. skincare cocok""an sih. But I'm Big No banget sama produk ini..";0
acnes facewash;DillaRaffike;Lagi lagi karena promo beli 1 free obat totolnya jerawat acnes makanya kan langsung check out, untuk di kulit berjerawat kayaknya gk tau sih tapi kalau di aku yg combinasi dia tidak terlalu membantu mengempeskan jerawatku, aku gk suka baunya kayak chemical bgt gtu menurutku, dan dia ini juga rada bikin ketarik dikulitku kayaknya karena gk cocok deh;0
cosrx toner;kylaaaaaooo;pertama kalinya nyobain exfo toner tuh ya dari cosrx ini pas pandemi, udah berekspektasi tinggi tp sayangnya di aku kurang pengaruh yaa padahal udah pakai tiap hari tp mungkin untuk exfo bgai pemula sangat sangat worth sih menurutku karena ringan;0
cosrx toner;Jesslynjo;kepingin berusaha menyukai tapi aku belum nemu manfaat yg bener2 kerasa di kulit wajah aku, so far dia cmn kyk mist yg bikin seger gtu aja. Klu pakenya sering2 kulit malah cenderung dari oily jadi kering keset dan komedo putih tetep bermunculan, entah karena kombinasi skincarenya yg kurang ngeklop apa gmn. tapi secara texture dia mist yg ringan kyk air, gampang pakenya, just hoping it could do something wow to me;0
cosrx toner;cintara;sedih bgt.. yg lain banyak pada cocok & beruntusan hilang❤️ sayang gacocok di wajahku, bikin jerawat mendem🥺, sempat berhenti terus coba lagi dan tiap pakai reaksinya sama bbrp saat muncul jerawat. padahal tekstur toner enak cair kaya air & ringan , ga bikin lengket maupun berat di wajah. plus nya jg cara pakai toner simple tinggal spray.;0
cosrx toner;natasyakartika;GATAU KENAPAAA, semua toner-toner cosrx tuh gaada yang ngaruh apapun ke aku:( review-review semua orang bagus dan ini toner eksfoliasi pertamaku!! tapi gaada ngasih results positif maupun negatif:( tapi gapapa mungkin ini cuma di aku aza yHHHA;0
cosrx toner;hestiapril;baru pertama kali pakai toner, beli karena review temen temen katanya produk ini bagus. but, sorry to say ini sama sekali ga cocok di aku bikin kemerahan dan gatal huhu. memang gak cocok aja kali ya di aku.;0
cosrx toner;sherlynovi;Cosrx aha bha clarifying treatment toner, toner eksfoliasi yang aku kepo banget pengen coba, tapi ternyata b aja di aku, mungkin karena aku sudah biasa pake yang lebih hard ya, jadi ini terlalu mild di aku. Tekstur toner ini cair seperti air biasa. Yidak ada reaksi yang menandakan ketidakcocokan.;0
cosrx toner;jjaemxinx;Dia tipe toner yang watery. Dulu aku beli ini karena liat review orang-orang yang oily skin bilang ini produk yang bagus banget. Pertama kali pakai dia langsung bikin kering banget di wajah :( jadi setiap habis pakai langsung buru-buru pakai hydrating toner 😞 dia aku pakai kurang lebih sebulan dan bukannya tambah membaik malah makin kusam banget kulitku dan jadi merah gosong bangett, aku langsung berhentiin pemakaian. Mungkin itu karena ada bahan aktif dan waktu itu aku masih belum terlalu tau soal cara pakai skincare, jadi menurutku ini produk yang bagus tapi nggak di akuu;0
cosrx toner;dignara;Udah expect banyak dengan toner ini ternyata tidak berefek apapun, mungkin karena kulitku tidak semudah itu untuk ditembus mild chemical exfoliatornya. Better pake face wash yang ada aha bha nya daripada semprot2 toner ini. Mana pricey kan, tapi efek yang dimau engga bisa diachive dalam waktu 6 bulan pemakaian;0
cosrx toner;Ichaathr;Kandungan aha bha nya rendah banget padahal, masuk dalam kategori mild. Tapi kenapa pas aku pake malah jerawatan huhu. Padahal kukira dia bakal cocok buat kulit yang baru pertama kali cobain ekfo. Sayang banget padahal buat ukuran exfo dia beneran mild dan terjangkau banget.;0
cosrx toner;Fristina;Dia ga cocok banget untuk kuit yg berjerawatApalagi jerawat on off Awal pemakaian 1minggu 3xseminggu oke gada masalah tapiii setelahnyaaa aku semprot kan keesokan harinya dia malah bruntusan dijidatttt banyakk bngettt aku syok dong dan akhirnua aku melepaskannnyaaa … sorry next gue gaakan beli lagii 🥲🥲;0
cosrx toner;honeykarl;Karena toner ini jadi holy grail banyak orang, aku sempet beli dan nyoba pake kurang lebih sebulanan. Tapi malah breakout di pipi dan garis rahang 🫠 awalnya ngira itu purging, tp udh abis kira2 setengah botol masih aja merah2 meradang, jadi nyerah dan balik ke skincare lama. Masih bingung knp toner ini ga cocok di aku, pdhl belinya yg ori di sociolla dan kulitku bukan yg sensitive, pernah make toner exfo lain (sbm ijo). Buat yg kulit sensitif, coba patch test dulu ya sblm nyoba toner ini.;0
cosrx toner;bluejaysca;toner ini katanya bagus untuk daily exfo ya? dan boleh dipake setiap hari? gw ud coba lumayan lama sekitar 3 minggu an, sadly ga cocok, malah bruntusan, redness makin parah dan muncul jerawat mendemmm di hidung sampe skrng toner ini masih sisa 1/2 dan gw ga berani pake lagi karena takut BO huhuhuuuuu:( krn tipe kulit ku sensitiveee dan susah bgt adaptasi sama fragrance:((( yg kulitnya sensitv tiati ya pake toner ini, tapi balik lagi sih skincare tu cocok2an yg ga cocok di gw blum tentu ga cocok di kalian:);0
cosrx toner;shella92;Ini produk biasa banget menurutku keunggulannya gak jelas.. katanga exfoliating tapi kok kecil banget cuma 0 koma sekian persen, dibilang hyrdating jg gak bisa sampe hydrate bangetttt… jadi buatku mending cari toner lain kalo mau fokus ke hidrasi ya bisa cari yg lebih oke, begiti jg kalo mau eksfoliasi;0
cosrx toner;meuthiaputri;banyak yg blg ini buat pemula yg baru exfo, coba lah karna katanya paling rendah aha bhanya. eh ternyata malah bruntusan bangett dipelipis doang tapi:( buat dipipi yg cenderung normal oke sih jadi halus bgt tapi setelah berenti pakai muncul jerawat. yg bruntusan dipelipis mulai merah. buat bagian hidung yg sering kering lumayan bantu dan komedo gampang keluar juga.;0
emina sun battle sunscreen;runpotato;Aku pake ini ngga sesuai aturan 2 jari. Satu jari aja bikin muka berminyak banget. Menyerap lama, ditunggu sampe 10 menit ga ilang2 glowing seperti minyak, kerasa kayak ada lapisan berat di atas kulit wajahku pakai ini. Sorry to say, tapi kayak pake mentega :( kesel banget, bekas di jari pun minyakan banget. Aku set pake bedak tabur malah ngegeser.. haduh kecewa deh pokoknya.;0
emina sun battle sunscreen;ardinaayu31;NO AND NOOOO! i said no, awal nyoba tuh yg spf30, terus kepo mau nyoba yg spf45 juga. sempet liat juga review yg cocok pake ss emina ini, tapi di aku malah bikin berminyak banget waktu pertama pake. teksturnya ringan kayak yg spf30, but i prefer yg spf30 dari pada yg ini. dari wanginya juga sama persis khas aloevera. pake ss ini juga bikin peeling, tapi ga perih dimata.;0
emina sun battle sunscreen;ilysmzaaa;big no buat produk ini. emina sunscreen pertama yang gua coba di usia remaja dan hasilnya kulit malah breakout 🥲. bodohnya gua ga cek ingredientnya jadi bukan salah emina nya karena yg namanya skincare kan cocok²an. sensasinya dingin bgt dan aromanya kuattt buat yg kulit sensitif sama kandungan fragrance sebaiknya jgn dicoba;0
emina sun battle sunscreen;yunitaawaliyah;Sebenernya teksturnya enak creamy gel gitu, wanginya enak, SPF nya lumayan, harganya oke, tapi di muka aku yg oily dan acne prone ini bener-bener doesn't work. Berasa ada lapisan minyak tebel di muka, meresapnya lama, panas ampe selalu keringetan muka aku kalo nungguin dia meresap, dan jd muncul bruntusan. Mungkin utk yg dry skin cocok ya, tp yg oily aku ga rekomen bgt sih.;0
emina sun battle sunscreen;higiamawadah;tertarik nyoba sunscreen ini karena udah cocok banget pake yang sebelumnya. Apalagi ini lebih banyak spf nya yaitu spf 45+++. Tapi kok waktu di apply lengket gitu dan lama banget nyerap di kulit, dan kalau ditimpa pake bedak atau BB cushion kok jadi cakey. Dan setelah beberapa lama muka ku jadi kusam dong 😭;0
emina sun battle sunscreen;Deusevillian;Beneran deh, produk Emina termengecewakan! Aku ga niat beli sebenarnya, cuma karena lapar mata dan berakhir kecewa. Pake dia tuh berasa pake cleansing balm tapi belum dibilas, BERAT BANGET. Di kulitku yang normal sensitif aja berasa banget minyakannnya, apalagi yang oily. Untungnya ga bikin jerawatan atau gimana-gimana sih. Akhirnya ku pake buat ss bagian tangan dan kaki. Eiya, ini juga perih di mata, terus harus nunggu 15 menitan baru ngeset, setelah ngeset malah bikin muka jadi berasa kering. Big no no banget.;0
emina sun battle sunscreen;qoqohnut;Beli krn harganya lumayan murah, walau sbenernya isinya dikit jg jd sesuai lah ya. Teksturnya berat bgt dan menyerap lama. Muka jd berasa greasy dan berminyak parah, pokoknya super ga nyaman. Bikin mata perih, smpe nangis pas pertama kali make. No white cast sih tp dia ada piling. Sepertinya ga cocok sm pelembab ku. Seminggu pake bikin break out lumayan parah and finally decided to stop using this.....;0
emina sun battle sunscreen;tiara0202;maaf bgt harus kasih rate segini karena benar2 ga nyaman aku pakenyaa. padahal emina salah satu brand kecintaan aku!! semua koleksi make up dan skincarenya pasti aku punya dan selalu bagus di aku, sayangnya tidak untuk sunscreen ini. padahal yg spf 30nya aku CINTA BGT, udh repurchase puluhan kali kayaknya. yg spf 45 ini diaplikasikan ke muka ku jadi gerahhhh dan agak susah di blend, terus bikin muka ku yg oily makin oily dan jd terlihat kusaaaam:( semoga emina bisa improve untuk sunscreen yg spf 45 ini karena yg spf 30 nya udh cucok bgt di aku hehehe;0
emina sun battle sunscreen;fahrazasyah;I’m sorry Emina, but this sunscreen is a big no for me. It is too heavy to be applied on my face :( Padahal tipe kulitku normal to dry, tapi nggak tau kenapa ketika menggunakan sunscreen ini jadi berat kek minyakan gitu dan pokoknya nggak nyaman banget :(((;0
emina sun battle sunscreen;mthnns;WHOAAAA terngaco deh zuzur🥲🥲🥲 SUSAH BGT DI BLEND😭😭 15 menit pun whitecast ga ilang2😭 jadi hampir 30 menit buat dia bener2 nyerap di muka aku, udah gitu OILY PARAH😭👋🏻 skin Type aku combi-oily which is ga cocok di muka aku😞 padahal emina spf 30 cocok bgt di aku, makanya iseng nyobain yg spf 45 ini. Sayangnya sm kulitku ga berjodoh🥲👋🏻;0
emina sun battle sunscreen;anitanursyifa;sangaaat tidak cocok. pemakaian 1 jam aja udah cukup membuat kulitku menjadi kilang minyak, padahal ST ku dry. kalau kilang minyak gini otomatis ngaruh ke make up rawan longsorrr, longsor bgt make up seluruh muka. pemakaian 3 harian langsung muncul jerawat, di mukaku yg jarang berjerawat. selama pemakaian terasa cekit2 dan sangat berat. baunya pun cukup mengganggu.;0
emina sun battle sunscreen;calhusni;Lengket, bikin muka kusam, gak nyerep, baunya gak enak banget. Bingung padahal yg spf 30 di aku cocok bgt suka bgt tp ini gak banget. Kalo pake ini terus pake masker baunya gak nyengat sih tp gaenak aja bikin pusing. Mana LENGKET BANGET. Emina please bgt huhu aku suka produk dia yg lain tp ini sorry to say, very not recommended;0
emina sun battle sunscreen;dianditaa;sadly, aku ga cocok sama sunscreen ini. finishnya itu dewy banget yang mana di kulit kombinasi aku jatuhnya jadi greasy banget, trus dia juga lengket, walaupun udah ngeset tetep lengket :( teksturnya mirip biore uv essence tapi lebih kental lagi. sunscreen ini juga gaada whitecastnya. nahh yang lebih bikin aku gasuka lagi adalah setelah pake ini langsung muncul jerawat di kulit aku :(((;0
emina sun battle sunscreen;linaarw;i'm really sad that this product doesn't work on me. sebenernya dia lightweight, tapi finishnya membuatku sangat sedih, dan sepertinya itu juga yg dirasain banyak orang. terlalu berminyak jadi lama keringnya. kalo pakek makeup susah sih, ngedempul parah dan jadi gampang transfer. sangat sangat gk cocok buat oily skin.;0
emina sun battle sunscreen;sabrinaprtw;gacocok. gatel banget di kulit mukaku dan lama2 keluar ruam2 merah gatel perih, besoknya jerawat dimana2. pdhl dulu cocok sama emina yg keluaran pertama walaupun ya gatau proteksinya beneran spf 30 atau bukan wkwk tp di kulit ga ngasih reaksi alergi kyk yg series ini;0
emina sun battle sunscreen;shintaalya;i tried to like it but i can't... 😔 kukira teksturnya bakal watery tapi ternyata creamy, masih gampang diblend sih. cuma dia berat, berasa gerah, dan berminyak banget di mukaku, mirip sama ss brand c*r*s*n. susah buat dipakein makeup diatasnya. terus kalo kena mata perih banget, bahkan gak ada 1 jam udah perih.;0
emina sun battle sunscreen;windatsanii;Ini sebelas duabelas sama sunscreennya emina yang spf 30. Gajauh beda tapi mendingan yang ini. Lebih kental yang ini dan walaupun tetep perih di mata tapi ga seperih yang spf 30. Untuk harga 40k an mending beli yang spf 30 aja lebih murah dan gajauh beda. Karna ga cocok jadi aku kasih ke sepupu aku aja. Buang2 duid akhirnyaaa. Tapi gapapa..;0
emina sun battle sunscreen;raliapr;It doesnt work on me. Sedih sekali untuk sunscreen ini big no buat ku. Texturenya kental, setelah diaplikasikan yang ku rasakan adalah lengket banget, gerah, perih di area sekitar mata dan cuping hidung. Satu jam setelah pemakaian muka jadi ladang minyak banget. Setelah dicoba pakai rutin selama 3 minggu yang aku perhatikan adalah dia selalu menimbulkan jerawat di wajah ku dan wajah jadi terlihat agak kusam gatau kenapa😢;0
emina sun battle sunscreen;Silviarnr;Sebenarnya produk ini ga kasih masalah kulit ke wajahku, kaya jerawat, komedo, atau breakout, dll. Jadi kalau kulit kalian ga rewel kurasa gapapa sih kalau mau pakai sunscreen ini. Tapi formula cream sunscreen ini tuh bikin kulit berminyak banget, aku pun setiap pakai sunscreen ini selalu skip step skincare bagian moisturizer. Pengalamanku pernah paksain pake moisturizer sama sunscreen ini dan hasilnya beberapa jam kemudian wajahku jadi kusam karena terlalu berminyak. Apalagi ketika produk ini ga sengaja masuk ke mata atau aplikasinya terlalu deket sama bagian mata pasti baka perih bangettttt dan perihnya tuh sampai bikin mata berair parahhhh. Padahal ketika kita keluar dan pakai masker kan daerah mata engga terlindungi kain jadi perlu banget perlindungan setiap sudut wajah terutama dahi dan mata.;0
emina sun battle sunscreen;Ghina_alifahh;"Sunscreen ini punya tekstur yg kalo menurutku sedikit thick & wangi citrus yg nggak menyengat sama sekali. Waktu diaplikasikan produknya mudah diblend, meninggalkan sangat"" minim whitecast yg akan segera menghilang, perih dimata, dan terasa gerah di kulit. Di kulitku yg combination to oily ini ngeset-nya lamaaa banget butuh sekitar 1 jam.an dan berakhir dengan sangat greasy. Hasil akhir pemakaiannya, aku bisa simpulkan bahwa sunscreen ini tidak cocok di aku. Karena di pemakaian hari kedua kulitku mengalami clogged pores, berminyak, dan berakhir dengan beruntusan So sad😢 Sayang sekali padaha sunscreen ini terbilang affordable dan gampang didapetin. Untuk formulanya, sunscreen ini termasuk sunscreen Hybrid, masih mengandung alcohol, dan perfume di list terakhir ingridients.";0
